booking_id,session_id,hotel_id,provider_name,nights,booking_price_eur,commission_eur,booking_status
1,4,28,Hotels.com,1,121.73,16.26,cancelled
2,5,20,Agoda,1,143.66,13.56,confirmed
3,6,174,HRS,2,233.92,31.46,confirmed
4,12,158,HRS,3,329.33,41.87,confirmed
5,30,1,Booking.com,6,988.53,136.68,confirmed
6,31,141,Hotels.com,5,687.42,80.08,confirmed
7,54,163,HRS,1,92.38,13.73,confirmed
8,71,95,Hotels.com,2,157.84,22.49,confirmed
9,83,115,Hotels.com,2,237.65,21.13,confirmed
10,89,184,Hotels.com,4,392.34,38.47,cancelled
11,94,16,HRS,6,704.72,78.26,confirmed
12,126,88,Expedia,1,158.11,14.9,confirmed
13,145,15,Hotels.com,4,329.5,41.81,cancelled
14,157,171,Booking.com,2,166.51,16.4,cancelled
15,172,37,Expedia,4,538.67,58.34,confirmed
16,176,7,Expedia,5,773.22,82.28,confirmed
17,177,8,Hotels.com,4,582.2,81.54,confirmed
18,180,11,Expedia,3,375.85,46.62,confirmed
19,193,1,HRS,3,452.99,58.87,confirmed
20,199,116,HRS,1,131.53,19.13,confirmed
21,209,121,Hotels.com,1,106.44,13.34,confirmed
22,222,46,Hotels.com,2,244.73,19.87,confirmed
23,248,124,Expedia,2,297.26,42.87,confirmed
24,266,184,Agoda,7,763.28,109.03,confirmed
25,288,183,Booking.com,4,746.19,108.04,confirmed
26,296,2,Booking.com,7,691.42,71.86,confirmed
27,333,63,Agoda,6,693.0,57.27,confirmed
28,345,49,Expedia,3,424.8,49.48,confirmed
29,350,44,Agoda,2,265.12,35.42,confirmed
30,370,207,HRS,3,399.52,56.38,confirmed
31,376,44,Expedia,1,149.86,12.45,confirmed
32,391,47,Expedia,4,481.81,56.24,confirmed
33,406,208,Expedia,6,730.14,65.96,confirmed
34,411,131,Hotels.com,7,1027.37,152.47,confirmed
35,422,24,Agoda,4,463.91,50.89,cancelled
36,438,22,Agoda,6,1021.13,99.81,confirmed
37,446,82,Agoda,4,414.22,56.04,confirmed
38,469,20,Hotels.com,7,989.73,144.05,confirmed
39,523,20,Hotels.com,7,996.2,149.1,cancelled
40,525,51,Booking.com,3,350.26,40.84,confirmed
41,535,90,Expedia,1,123.66,11.85,confirmed
42,558,167,Expedia,6,703.7,67.56,confirmed
43,570,81,Agoda,4,725.48,104.02,confirmed
44,573,28,Expedia,4,498.62,49.76,confirmed
45,594,90,HRS,3,371.49,45.38,cancelled
46,623,141,Agoda,2,304.82,32.66,confirmed
47,625,216,Booking.com,6,881.39,76.95,confirmed
48,635,193,Booking.com,5,572.57,48.49,confirmed
49,637,44,Agoda,2,277.64,40.82,confirmed
50,671,115,Expedia,7,832.82,74.05,cancelled
51,672,157,Hotels.com,7,892.06,118.31,confirmed
52,708,150,Expedia,6,1038.96,152.83,confirmed
53,714,49,Expedia,7,928.65,134.71,confirmed
54,723,173,Expedia,1,120.2,12.15,cancelled
55,774,21,Booking.com,3,421.81,46.02,confirmed
56,777,7,Booking.com,6,973.63,124.98,confirmed
57,786,151,Expedia,1,125.49,16.17,confirmed
58,788,39,Expedia,1,110.91,10.46,confirmed
59,803,63,Agoda,6,669.56,58.2,confirmed
60,814,48,Agoda,2,325.53,28.76,confirmed
61,823,102,Hotels.com,2,310.83,30.41,confirmed
