click_id,session_id,hotel_id,provider_name,list_position
1,1,100,Expedia,11
2,3,119,HRS,19
3,4,28,Hotels.com,9
4,5,20,Agoda,17
5,6,174,HRS,14
6,9,209,Agoda,9
7,11,98,HRS,12
8,12,158,HRS,1
9,16,132,Booking.com,12
10,21,137,HRS,8
11,25,61,Expedia,14
12,28,8,Hotels.com,7
13,30,1,Booking.com,3
14,31,141,Hotels.com,11
15,32,76,Agoda,12
16,39,94,Hotels.com,9
17,42,120,Expedia,16
18,46,177,Expedia,8
19,48,166,Booking.com,1
20,50,74,Hotels.com,9
21,51,33,Expedia,7
22,52,66,Hotels.com,18
23,54,163,HRS,7
24,58,192,Booking.com,15
25,59,180,Agoda,6
26,60,145,Hotels.com,8
27,61,166,Agoda,17
28,64,85,Agoda,6
29,71,95,Hotels.com,4
30,75,80,HRS,3
31,78,68,Booking.com,13
32,81,66,Booking.com,17
33,82,131,HRS,13
34,83,115,Hotels.com,11
35,85,157,HRS,7
36,89,184,Hotels.com,4
37,91,194,Agoda,15
38,94,16,HRS,3
39,97,203,Hotels.com,5
40,98,41,Hotels.com,1
41,101,104,Hotels.com,2
42,103,156,HRS,6
43,106,106,HRS,14
44,108,180,Agoda,1
45,110,219,Booking.com,16
46,113,37,Booking.com,3
47,115,124,Hotels.com,1
48,116,139,HRS,19
49,117,90,HRS,17
50,121,207,Expedia,19
51,126,88,Expedia,2
52,129,179,Agoda,11
53,132,66,Booking.com,13
54,133,51,Agoda,18
55,135,144,Agoda,4
56,140,211,Booking.com,6
57,141,168,Hotels.com,4
58,144,177,Booking.com,5
59,145,15,Hotels.com,5
60,150,182,Booking.com,8
61,154,196,Hotels.com,11
62,155,124,Expedia,3
63,156,87,HRS,5
64,157,171,Booking.com,3
65,166,121,HRS,8
66,168,96,Booking.com,3
67,172,37,Expedia,18
68,176,7,Expedia,19
69,177,8,Hotels.com,5
70,180,11,Expedia,15
71,191,164,Booking.com,8
72,193,1,HRS,18
73,197,27,Agoda,12
74,198,59,HRS,19
75,199,116,HRS,16
76,204,79,Agoda,9
77,206,14,Hotels.com,7
78,209,121,Hotels.com,18
79,213,33,Agoda,17
80,219,220,Agoda,16
81,220,124,Expedia,10
82,222,46,Hotels.com,19
83,224,195,Agoda,19
84,228,29,Booking.com,17
85,229,146,Hotels.com,19
86,230,195,Booking.com,15
87,235,87,Agoda,13
88,239,90,Hotels.com,19
89,241,52,HRS,2
90,247,121,HRS,3
91,248,124,Expedia,19
92,253,203,Hotels.com,12
93,256,20,Booking.com,2
94,257,64,Booking.com,1
95,260,162,Hotels.com,11
96,261,117,HRS,18
97,262,122,Booking.com,7
98,264,125,HRS,13
99,266,184,Agoda,8
100,268,217,Hotels.com,7
101,269,184,Expedia,2
102,270,135,Expedia,3
103,273,187,Booking.com,17
104,275,182,HRS,19
105,278,31,Expedia,6
106,282,109,Expedia,17
107,284,64,Hotels.com,9
108,288,183,Booking.com,5
109,290,220,Hotels.com,11
110,296,2,Booking.com,14
111,298,166,Agoda,12
112,301,93,Agoda,5
113,303,62,Hotels.com,12
114,308,197,HRS,4
115,312,37,Booking.com,5
116,314,141,Hotels.com,17
117,323,42,Expedia,14
118,330,72,Booking.com,2
119,332,31,HRS,19
120,333,63,Agoda,16
121,334,141,Hotels.com,10
122,337,185,Booking.com,13
123,340,158,HRS,9
124,343,100,Hotels.com,4
125,345,49,Expedia,15
126,346,194,Agoda,9
127,348,23,Booking.com,17
128,350,44,Agoda,2
129,351,192,Booking.com,11
130,357,104,Booking.com,3
131,361,78,Booking.com,4
132,366,197,HRS,1
133,367,194,HRS,14
134,368,147,Booking.com,11
135,370,207,HRS,6
136,372,175,Hotels.com,1
137,373,220,HRS,14
138,375,55,HRS,2
139,376,44,Expedia,10
140,378,163,Expedia,13
141,379,98,HRS,18
142,384,198,Hotels.com,1
143,387,164,Hotels.com,9
144,388,101,Agoda,6
145,389,137,HRS,10
146,390,136,Expedia,13
147,391,47,Expedia,15
148,396,55,Agoda,11
149,397,162,Agoda,7
150,398,93,Booking.com,6
151,406,208,Expedia,5
152,407,192,Expedia,5
153,408,98,Agoda,8
154,410,93,Booking.com,5
155,411,131,Hotels.com,1
156,413,157,Agoda,13
157,422,24,Agoda,3
158,423,20,Expedia,5
159,426,13,Agoda,13
160,429,16,Hotels.com,1
161,431,159,Hotels.com,6
162,434,35,Agoda,14
163,436,150,Booking.com,12
164,438,22,Agoda,11
165,439,137,HRS,1
166,442,197,Booking.com,8
167,446,82,Agoda,17
168,451,45,Agoda,14
169,454,174,Booking.com,7
170,455,24,HRS,3
171,457,69,Agoda,8
172,463,105,Agoda,18
173,464,135,HRS,18
174,469,20,Hotels.com,5
175,470,124,HRS,11
176,471,207,Agoda,4
177,472,10,HRS,4
178,476,18,Expedia,8
179,479,54,HRS,16
180,487,170,Agoda,8
181,488,147,Expedia,9
182,494,178,HRS,4
183,498,74,Expedia,16
184,503,143,HRS,7
185,506,22,Hotels.com,3
186,508,122,Hotels.com,1
187,512,209,HRS,19
188,517,146,HRS,3
189,523,20,Hotels.com,4
190,525,51,Booking.com,16
191,526,179,Expedia,7
192,529,114,Expedia,17
193,532,94,Booking.com,11
194,535,90,Expedia,15
195,539,11,Booking.com,4
196,541,24,Hotels.com,14
197,543,77,HRS,10
198,552,58,HRS,4
199,556,181,Agoda,16
200,558,167,Expedia,18
201,559,169,Expedia,7
202,561,44,Expedia,1
203,564,49,Hotels.com,5
204,565,110,HRS,12
205,570,81,Agoda,13
206,573,28,Expedia,16
207,576,188,HRS,2
208,577,111,Hotels.com,9
209,581,132,Agoda,1
210,583,94,Expedia,8
211,590,161,Agoda,19
212,593,139,Hotels.com,5
213,594,90,HRS,12
214,595,218,Agoda,12
215,598,155,Hotels.com,14
216,599,175,Booking.com,16
217,606,178,HRS,7
218,612,126,HRS,11
219,619,156,Agoda,1
220,620,99,Expedia,16
221,623,141,Agoda,4
222,624,17,Booking.com,8
223,625,216,Booking.com,16
224,626,65,Hotels.com,15
225,630,192,Expedia,13
226,631,135,Hotels.com,10
227,635,193,Booking.com,8
228,637,44,Agoda,16
229,643,166,HRS,8
230,644,94,Agoda,6
231,654,158,HRS,2
232,658,82,Hotels.com,9
233,659,202,Booking.com,9
234,660,19,Booking.com,12
235,661,25,HRS,4
236,663,74,Agoda,2
237,669,158,Hotels.com,15
238,670,127,Hotels.com,13
239,671,115,Expedia,1
240,672,157,Hotels.com,13
241,674,187,Expedia,14
242,676,177,Agoda,5
243,677,47,HRS,3
244,678,196,Expedia,3
245,682,218,HRS,4
246,683,170,Hotels.com,6
247,684,16,HRS,3
248,692,157,Expedia,2
249,697,9,Hotels.com,9
250,699,110,Hotels.com,7
251,703,171,Expedia,11
252,708,150,Expedia,4
253,714,49,Expedia,11
254,717,10,Hotels.com,2
255,721,68,HRS,18
256,722,120,Expedia,8
257,723,173,Expedia,15
258,724,132,Booking.com,18
259,732,89,Booking.com,12
260,735,154,Booking.com,7
261,736,173,Booking.com,2
262,738,143,Booking.com,12
263,739,69,Expedia,12
264,743,125,Expedia,15
265,750,192,Agoda,13
266,751,148,Hotels.com,14
267,753,163,Expedia,2
268,756,216,Expedia,9
269,757,81,Booking.com,6
270,768,9,Hotels.com,19
271,771,24,Booking.com,1
272,774,21,Booking.com,16
273,777,7,Booking.com,14
274,786,151,Expedia,3
275,788,39,Expedia,16
276,791,185,HRS,10
277,792,106,Agoda,10
278,793,214,Agoda,12
279,794,43,Agoda,13
280,797,86,Expedia,7
281,800,124,Booking.com,9
282,802,199,Expedia,16
283,803,63,Agoda,3
284,805,120,Booking.com,8
285,807,48,HRS,17
286,809,40,Expedia,8
287,811,17,Agoda,1
288,814,48,Agoda,7
289,823,102,Hotels.com,15
290,828,193,HRS,18
291,830,14,HRS,16
292,832,14,Expedia,5
293,843,86,Agoda,19
294,845,82,Booking.com,1
295,846,174,Booking.com,4
296,850,193,Expedia,13
297,852,21,HRS,19
298,855,53,HRS,4
299,857,39,Agoda,10
300,858,178,HRS,13
301,860,22,HRS,15
302,861,102,HRS,4
303,862,32,Booking.com,10
304,863,1,Agoda,9
305,864,5,Booking.com,6
306,865,50,Hotels.com,2
307,868,149,Hotels.com,5
308,872,40,Expedia,6
309,875,2,Agoda,12
310,879,74,Hotels.com,16
311,880,170,HRS,3
312,881,96,HRS,2
313,883,40,Agoda,18
314,884,22,Agoda,11
315,886,205,HRS,3
316,888,74,Expedia,17
317,889,203,Agoda,5
318,890,207,Expedia,7
319,893,202,Booking.com,15
320,894,123,Hotels.com,15
321,895,158,HRS,17
322,896,56,HRS,14
323,897,36,Hotels.com,10
324,899,107,Expedia,14
325,900,127,Agoda,4
326,901,197,HRS,17
327,904,58,Agoda,10
328,906,101,Expedia,14
329,907,189,Hotels.com,6
330,917,176,HRS,7
331,921,190,Expedia,11
332,923,215,Booking.com,13
333,925,38,Expedia,10
334,926,113,Hotels.com,4
335,930,100,Booking.com,9
336,932,66,Hotels.com,19
337,935,27,Expedia,4
338,937,57,HRS,16
339,942,44,Agoda,3
340,946,66,Booking.com,12
341,949,106,Booking.com,13
342,953,53,Hotels.com,4
343,954,82,Expedia,3
344,955,186,HRS,16
345,957,213,Agoda,2
346,960,47,Booking.com,4
347,961,1,Booking.com,12
348,968,131,Agoda,16
349,971,32,Hotels.com,6
350,973,17,Agoda,7
351,974,117,Booking.com,7
352,976,199,Booking.com,5
353,977,27,Booking.com,19
354,978,218,Agoda,16
355,979,151,Booking.com,17
356,980,126,Expedia,19
357,982,5,Hotels.com,15
358,984,190,Expedia,15
359,989,118,Agoda,12
360,990,40,Hotels.com,5
361,991,123,Agoda,7
362,994,189,Agoda,1
363,1000,214,HRS,19
364,1003,202,Hotels.com,1
365,1005,14,Hotels.com,11
366,1010,66,Expedia,4
367,1014,208,Expedia,19
368,1018,34,HRS,5
369,1021,76,Agoda,6
370,1022,115,Booking.com,16
371,1024,203,Expedia,12
372,1025,136,HRS,12
373,1027,46,HRS,10
374,1028,149,Booking.com,9
375,1029,153,Agoda,15
376,1036,111,Expedia,6
377,1037,5,Expedia,11
378,1039,90,Expedia,17
379,1044,52,Expedia,14
380,1047,194,Agoda,11
381,1049,112,Expedia,8
382,1050,10,Expedia,9
383,1051,123,Agoda,3
384,1056,66,HRS,14
385,1057,122,Agoda,12
386,1058,10,Expedia,15
387,1060,170,Hotels.com,12
388,1063,108,Expedia,1
389,1065,123,HRS,5
390,1066,106,Agoda,12
391,1076,122,Agoda,10
392,1077,27,Expedia,18
393,1083,173,HRS,11
394,1084,189,Agoda,3
395,1087,27,Expedia,9
396,1088,71,HRS,16
397,1090,34,Agoda,18
398,1092,197,Booking.com,11
399,1095,70,Booking.com,11
400,1101,43,Expedia,19
401,1102,4,Hotels.com,16
402,1104,179,HRS,6
403,1106,181,Agoda,6
404,1107,65,HRS,11
405,1111,150,Booking.com,3
406,1113,78,Agoda,9
407,1117,101,HRS,16
408,1118,81,Booking.com,6
409,1119,48,Booking.com,6
410,1121,196,Hotels.com,6
411,1123,44,Hotels.com,16
412,1125,164,HRS,7
413,1126,91,Booking.com,16
414,1127,96,Agoda,4
415,1129,78,Expedia,9
416,1131,24,Booking.com,9
417,1133,132,Hotels.com,5
418,1136,13,Booking.com,13
419,1137,180,Booking.com,8
420,1138,143,Expedia,4
421,1140,134,Expedia,2
422,1141,2,HRS,17
423,1143,140,Hotels.com,10
424,1148,165,Agoda,5
425,1150,36,Agoda,6
426,1151,12,Hotels.com,16
427,1164,176,Agoda,13
428,1165,53,Booking.com,2
429,1166,52,HRS,8
430,1169,152,Booking.com,6
431,1171,96,Expedia,2
432,1173,192,Hotels.com,14
433,1174,116,Agoda,5
434,1177,108,Agoda,2
435,1181,60,Expedia,18
436,1182,145,Hotels.com,11
437,1184,118,Booking.com,11
438,1185,50,Agoda,14
439,1188,27,Hotels.com,4
440,1191,8,Hotels.com,7
441,1194,107,Expedia,19
442,1201,165,Booking.com,15
443,1203,26,Expedia,6
444,1207,6,HRS,3
445,1208,103,HRS,7
446,1215,204,HRS,15
447,1216,169,Booking.com,18
448,1222,195,Booking.com,2
449,1225,149,HRS,15
450,1226,42,Expedia,8
451,1228,39,Agoda,4
452,1233,25,Booking.com,16
453,1237,145,Expedia,19
454,1240,57,Hotels.com,11
455,1242,162,Booking.com,4
456,1243,109,HRS,15
457,1246,108,HRS,17
458,1248,5,Booking.com,9
459,1249,201,Hotels.com,6
460,1259,32,HRS,2
461,1263,195,Booking.com,12
462,1271,56,Expedia,15
463,1272,1,Agoda,3
464,1273,57,Agoda,13
465,1274,32,Hotels.com,10
466,1282,123,HRS,15
467,1285,68,Booking.com,16
468,1287,139,Booking.com,4
469,1290,170,Expedia,3
470,1293,26,Booking.com,9
471,1299,88,Agoda,2
472,1300,159,Booking.com,13
473,1302,53,Agoda,7
474,1305,170,Booking.com,4
475,1306,122,Hotels.com,9
476,1307,61,Expedia,18
477,1308,162,Agoda,6
478,1316,209,Hotels.com,1
479,1319,79,Booking.com,10
480,1320,13,Booking.com,4
481,1321,177,Agoda,18
482,1324,30,Expedia,2
483,1328,158,Hotels.com,15
484,1334,26,Expedia,5
485,1338,42,Booking.com,17
486,1340,212,Expedia,2
487,1342,104,Expedia,12
488,1346,163,Hotels.com,5
489,1355,1,Hotels.com,17
490,1356,2,Agoda,15
491,1357,9,HRS,2
492,1358,120,Booking.com,16
493,1360,140,Agoda,5
494,1361,186,Agoda,13
495,1364,181,Booking.com,15
496,1365,48,Hotels.com,18
497,1366,110,Agoda,14
498,1367,68,HRS,16
499,1368,142,HRS,11
500,1369,54,Agoda,14
501,1371,200,HRS,4
502,1373,214,Expedia,15
503,1376,74,HRS,13
504,1377,126,HRS,18
505,1378,170,HRS,2
506,1381,211,Hotels.com,18
507,1383,78,Hotels.com,13
508,1388,126,HRS,2
509,1390,29,Hotels.com,6
510,1396,210,Expedia,16
511,1398,52,Agoda,7
512,1399,83,HRS,2
513,1401,206,Booking.com,17
514,1403,47,Agoda,11
515,1405,16,HRS,3
516,1407,166,Agoda,18
517,1409,148,Hotels.com,17
518,1410,141,Expedia,10
519,1411,204,HRS,17
520,1412,51,Hotels.com,14
521,1416,116,Expedia,14
522,1418,184,Agoda,11
523,1419,193,Expedia,19
524,1420,198,Booking.com,19
525,1424,134,Agoda,14
526,1426,164,HRS,2
527,1430,190,Hotels.com,11
528,1431,100,HRS,5
529,1432,61,Expedia,18
530,1434,16,Expedia,19
531,1436,110,Booking.com,11
532,1437,84,Expedia,6
533,1443,125,Hotels.com,17
534,1444,14,Expedia,16
535,1449,220,HRS,11
536,1450,58,Agoda,8
537,1452,2,Hotels.com,16
538,1457,132,Expedia,4
539,1459,175,Booking.com,13
540,1463,113,Expedia,10
541,1464,84,Hotels.com,4
542,1465,134,Hotels.com,11
543,1466,113,Booking.com,14
544,1472,23,Booking.com,6
545,1475,58,Expedia,4
546,1482,190,Booking.com,11
547,1483,153,Expedia,17
548,1484,4,HRS,10
549,1485,212,Expedia,18
550,1491,219,Agoda,18
551,1492,152,Hotels.com,1
552,1493,126,HRS,1
553,1494,32,Expedia,1
554,1495,159,Expedia,18
555,1501,73,Hotels.com,15
556,1502,51,HRS,8
557,1505,148,Booking.com,12
558,1507,88,Hotels.com,5
559,1509,18,HRS,12
560,1510,149,Booking.com,19
561,1511,154,Agoda,5
562,1518,132,Expedia,8
563,1521,158,Booking.com,5
564,1522,46,Agoda,3
565,1524,40,Agoda,3
566,1529,27,HRS,4
567,1531,197,Agoda,7
568,1534,100,Hotels.com,8
569,1535,115,Hotels.com,13
570,1538,161,Booking.com,13
571,1539,106,Hotels.com,6
572,1541,205,Expedia,9
573,1542,99,Expedia,14
574,1547,18,Agoda,15
575,1548,111,Expedia,17
576,1549,218,Expedia,11
577,1551,110,Hotels.com,7
578,1553,5,Hotels.com,3
579,1554,149,Booking.com,17
580,1555,175,Booking.com,7
581,1556,140,HRS,9
582,1557,158,Agoda,1
583,1562,110,Booking.com,2
584,1563,115,Agoda,16
585,1564,36,HRS,17
586,1566,134,Agoda,4
587,1567,1,Hotels.com,8
588,1568,172,Booking.com,7
589,1578,105,Booking.com,8
590,1581,101,Booking.com,12
591,1582,73,Booking.com,16
592,1584,35,Agoda,10
593,1585,151,Expedia,4
594,1591,129,Expedia,7
595,1592,2,Booking.com,7
596,1594,90,Expedia,8
597,1595,130,Booking.com,9
598,1603,140,Hotels.com,14
599,1604,32,Agoda,7
600,1605,42,Agoda,8
601,1606,18,Hotels.com,11
602,1607,21,Hotels.com,15
603,1608,23,Agoda,8
604,1609,16,Agoda,10
605,1611,117,Agoda,19
606,1613,15,Agoda,4
607,1618,115,Booking.com,10
608,1620,194,Agoda,16
609,1621,186,Hotels.com,10
610,1623,101,Booking.com,8
611,1624,2,HRS,19
612,1629,34,Hotels.com,18
613,1631,28,Expedia,13
614,1635,121,Expedia,3
615,1636,147,Hotels.com,1
616,1639,93,Booking.com,19
617,1641,112,Hotels.com,6
618,1644,119,Expedia,5
619,1648,57,HRS,7
620,1655,179,HRS,15
621,1656,114,Booking.com,8
622,1661,46,Booking.com,5
623,1662,45,Expedia,4
624,1664,51,Booking.com,14
625,1669,198,Agoda,4
626,1670,217,Hotels.com,18
627,1673,173,Expedia,12
628,1677,41,Expedia,16
629,1678,218,HRS,4
630,1681,11,Agoda,16
631,1684,26,Agoda,16
632,1685,209,HRS,18
633,1690,180,Expedia,4
634,1692,70,Booking.com,13
635,1694,130,Booking.com,1
636,1696,45,Booking.com,5
637,1698,14,Booking.com,14
638,1699,181,Hotels.com,6
639,1700,187,Hotels.com,12
640,1701,137,Expedia,11
641,1703,156,Agoda,15
642,1704,143,Booking.com,13
643,1707,104,Booking.com,4
644,1708,2,Expedia,18
645,1710,181,Booking.com,16
646,1715,109,Booking.com,13
647,1717,2,HRS,5
648,1721,2,Booking.com,15
649,1722,99,Hotels.com,1
650,1724,98,Booking.com,18
651,1728,93,HRS,2
652,1729,150,HRS,16
653,1731,127,HRS,10
654,1736,76,Booking.com,4
655,1737,109,Booking.com,2
656,1738,122,HRS,14
657,1739,180,HRS,4
658,1741,13,Expedia,1
659,1742,218,Booking.com,8
660,1744,79,Expedia,17
661,1746,72,HRS,13
662,1750,114,Expedia,7
663,1751,200,Hotels.com,17
664,1755,64,Booking.com,1
665,1759,75,Booking.com,1
666,1761,219,Hotels.com,4
667,1762,10,Agoda,1
668,1768,66,Agoda,13
669,1771,127,Expedia,5
670,1773,155,Agoda,17
671,1776,95,HRS,8
672,1779,139,Agoda,19
673,1782,155,HRS,18
674,1783,23,Booking.com,17
675,1785,173,Hotels.com,5
676,1786,137,Booking.com,3
677,1790,217,Booking.com,7
678,1795,197,Hotels.com,18
679,1796,41,Hotels.com,7
680,1798,91,Agoda,11
681,1799,147,Hotels.com,18
682,1800,115,Agoda,19
683,1807,101,Booking.com,6
684,1808,156,Booking.com,11
685,1816,182,Expedia,1
686,1817,136,Expedia,8
687,1819,83,HRS,5
688,1821,100,Agoda,18
689,1823,62,HRS,8
690,1824,76,HRS,17
691,1825,7,Expedia,16
692,1827,169,Booking.com,9
693,1829,65,Agoda,11
694,1830,42,Hotels.com,17
695,1831,76,Booking.com,16
696,1836,196,HRS,3
697,1838,139,HRS,10
698,1839,44,Expedia,12
699,1842,153,Hotels.com,2
700,1843,198,Expedia,16
701,1846,102,Agoda,3
702,1851,75,Expedia,18
703,1853,109,Expedia,18
704,1859,180,Hotels.com,9
705,1863,115,Agoda,2
706,1864,62,Agoda,10
707,1865,118,HRS,10
708,1867,4,Expedia,2
709,1871,73,HRS,10
710,1875,212,HRS,2
711,1878,74,Hotels.com,4
712,1879,121,Hotels.com,7
713,1889,21,Agoda,11
714,1891,200,HRS,7
715,1894,53,Expedia,17
716,1907,156,Hotels.com,8
717,1908,165,HRS,11
718,1909,215,Expedia,2
719,1910,13,Expedia,9
720,1911,75,Booking.com,18
721,1913,155,Hotels.com,16
722,1916,118,Hotels.com,2
723,1917,169,HRS,9
724,1923,94,Expedia,16
725,1926,55,Expedia,1
726,1928,163,Agoda,4
727,1931,197,Hotels.com,17
728,1933,175,Booking.com,3
729,1935,151,Expedia,13
730,1937,54,Expedia,11
731,1941,80,HRS,16
732,1944,182,Agoda,19
733,1945,185,Agoda,7
734,1950,78,Hotels.com,1
735,1953,74,Expedia,1
736,1954,18,Agoda,13
737,1956,22,Agoda,10
738,1959,124,Booking.com,8
739,1963,215,Agoda,4
740,1965,209,Booking.com,12
741,1966,159,Agoda,12
742,1967,55,Agoda,7
743,1968,110,Hotels.com,18
744,1969,105,Hotels.com,3
745,1972,42,Agoda,5
746,1973,186,Hotels.com,6
747,1976,3,HRS,1
748,1977,16,Booking.com,1
749,1982,198,Hotels.com,16
750,1983,24,Agoda,13
751,1984,134,HRS,13
752,1985,4,Booking.com,10
753,1989,195,Booking.com,19
754,1991,102,Expedia,3
755,1995,111,Hotels.com,14
756,1996,95,Agoda,7
757,2000,61,Agoda,8
758,2002,67,Agoda,13
759,2003,104,Agoda,18
760,2004,214,Booking.com,11
761,2007,73,Hotels.com,17
762,2008,184,Hotels.com,4
763,2014,161,Agoda,9
764,2015,74,Agoda,5
765,2017,171,Booking.com,1
766,2018,48,Hotels.com,18
767,2020,81,HRS,5
768,2022,11,Booking.com,12
