hotel_id,hotel_name,city,country,star_rating,hotel_type,base_price_eur
1,Hotel A0,Munich,Germany,4,Budget,151.88
2,Hotel B1,Barcelona,Spain,3,Resort,100.86
3,Hotel C2,Zurich,Switzerland,3,Business,124.39
4,Hotel D3,Vienna,Austria,4,Business,137.71
5,Hotel E4,Vienna,Austria,3,Boutique,129.05
6,Hotel F5,Rome,Italy,5,Boutique,174.01
7,Hotel G6,Munich,Germany,4,Family,161.85
8,Hotel H7,Amsterdam,Netherlands,4,Family,148.77
9,Hotel I8,Hamburg,Germany,3,Family,96.14
10,Hotel J9,Munich,Germany,4,Budget,139.2
11,Hotel K10,Salzburg,Austria,4,Resort,125.94
12,Hotel L11,Paris,France,4,Budget,133.78
13,Hotel M12,Amsterdam,Netherlands,2,Resort,108.13
14,Hotel N13,Barcelona,Spain,3,Budget,122.65
15,Hotel O14,Amsterdam,Netherlands,2,Budget,81.61
16,Hotel P15,Barcelona,Spain,4,Budget,127.84
17,Hotel Q16,Salzburg,Austria,3,Budget,115.39
18,Hotel R17,Munich,Germany,3,Business,100.4
19,Hotel S18,Rome,Italy,3,Budget,106.95
20,Hotel T19,Vienna,Austria,4,Boutique,143.74
21,Hotel U20,Salzburg,Austria,3,Budget,128.86
22,Hotel V21,Frankfurt,Germany,5,Resort,172.31
23,Hotel W22,Hamburg,Germany,4,Family,112.5
24,Hotel X23,Paris,France,3,Boutique,118.65
25,Hotel Y24,Barcelona,Spain,4,Family,140.86
26,Hotel Z25,Zurich,Switzerland,2,Family,94.97
27,Hotel A26,Frankfurt,Germany,5,Boutique,184.39
28,Hotel B27,Barcelona,Spain,4,Resort,115.24
29,Hotel C28,Salzburg,Austria,4,Resort,132.91
30,Hotel D29,Vienna,Austria,2,Budget,97.09
31,Hotel E30,Vienna,Austria,4,Budget,121.02
32,Hotel F31,Hamburg,Germany,4,Family,157.71
33,Hotel G32,Munich,Germany,5,Boutique,169.42
34,Hotel H33,Salzburg,Austria,4,Resort,150.16
35,Hotel I34,Rome,Italy,4,Resort,133.15
36,Hotel J35,Berlin,Germany,3,Family,124.77
37,Hotel K36,Rome,Italy,3,Boutique,127.82
38,Hotel L37,Barcelona,Spain,4,Resort,142.79
39,Hotel M38,Cologne,Germany,3,Business,117.81
40,Hotel N39,Zurich,Switzerland,2,Family,93.24
41,Hotel O40,Munich,Germany,4,Boutique,129.64
42,Hotel P41,Barcelona,Spain,5,Boutique,163.23
43,Hotel Q42,Amsterdam,Netherlands,3,Resort,113.17
44,Hotel R43,Frankfurt,Germany,4,Resort,144.6
45,Hotel S44,Berlin,Germany,3,Family,127.0
46,Hotel T45,Paris,France,4,Resort,127.3
47,Hotel U46,Vienna,Austria,3,Resort,113.5
48,Hotel V47,Rome,Italy,4,Business,157.78
49,Hotel W48,Amsterdam,Netherlands,4,Business,131.08
50,Hotel X49,Barcelona,Spain,4,Boutique,130.13
51,Hotel Y50,Barcelona,Spain,3,Family,117.43
52,Hotel Z51,Hamburg,Germany,5,Family,175.13
53,Hotel A52,Frankfurt,Germany,3,Budget,115.14
54,Hotel B53,Vienna,Austria,2,Budget,105.95
55,Hotel C54,Vienna,Austria,4,Boutique,150.28
56,Hotel D55,Berlin,Germany,3,Business,125.1
57,Hotel E56,Salzburg,Austria,4,Business,146.65
58,Hotel F57,Munich,Germany,4,Boutique,167.93
59,Hotel G58,Amsterdam,Netherlands,3,Boutique,112.54
60,Hotel H59,Amsterdam,Netherlands,5,Business,140.96
61,Hotel I60,Paris,France,3,Boutique,134.25
62,Hotel J61,Amsterdam,Netherlands,4,Business,134.51
63,Hotel K62,Frankfurt,Germany,3,Budget,116.29
64,Hotel L63,Paris,France,5,Family,180.71
65,Hotel M64,Frankfurt,Germany,3,Budget,95.77
66,Hotel N65,Cologne,Germany,2,Resort,74.98
67,Hotel O66,Rome,Italy,3,Resort,95.78
68,Hotel P67,Frankfurt,Germany,5,Boutique,155.47
69,Hotel Q68,Berlin,Germany,5,Business,170.28
70,Hotel R69,Vienna,Austria,4,Resort,146.29
71,Hotel S70,Barcelona,Spain,5,Resort,168.32
72,Hotel T71,Hamburg,Germany,5,Business,148.05
73,Hotel U72,Vienna,Austria,4,Resort,112.28
74,Hotel V73,Munich,Germany,3,Boutique,115.65
75,Hotel W74,Amsterdam,Netherlands,4,Business,134.34
76,Hotel X75,Vienna,Austria,4,Budget,145.51
77,Hotel Y76,Cologne,Germany,3,Resort,123.42
78,Hotel Z77,Hamburg,Germany,2,Budget,91.66
79,Hotel A78,Salzburg,Austria,4,Budget,149.12
80,Hotel B79,Amsterdam,Netherlands,3,Family,117.75
81,Hotel C80,Paris,France,5,Family,171.36
82,Hotel D81,Vienna,Austria,3,Budget,106.54
83,Hotel E82,Munich,Germany,3,Family,112.84
84,Hotel F83,Barcelona,Spain,4,Resort,142.36
85,Hotel G84,Zurich,Switzerland,3,Family,124.85
86,Hotel H85,Amsterdam,Netherlands,3,Budget,110.28
87,Hotel I86,Munich,Germany,4,Budget,146.25
88,Hotel J87,Cologne,Germany,5,Family,161.81
89,Hotel K88,Barcelona,Spain,3,Resort,113.59
90,Hotel L89,Barcelona,Spain,3,Budget,124.95
91,Hotel M90,Vienna,Austria,4,Boutique,116.08
92,Hotel N91,Barcelona,Spain,5,Family,149.44
93,Hotel O92,Rome,Italy,4,Budget,122.21
94,Hotel P93,Frankfurt,Germany,3,Budget,87.0
95,Hotel Q94,Rome,Italy,2,Resort,81.86
96,Hotel R95,Cologne,Germany,3,Family,123.99
97,Hotel S96,Hamburg,Germany,3,Business,111.58
98,Hotel T97,Amsterdam,Netherlands,4,Business,142.37
99,Hotel U98,Zurich,Switzerland,3,Resort,128.07
100,Hotel V99,Munich,Germany,4,Budget,155.93
101,Hotel W100,Barcelona,Spain,4,Family,139.17
102,Hotel X101,Hamburg,Germany,4,Resort,156.24
103,Hotel Y102,Barcelona,Spain,3,Budget,116.11
104,Hotel Z103,Berlin,Germany,4,Resort,129.95
105,Hotel A104,Barcelona,Spain,4,Family,132.87
106,Hotel B105,Barcelona,Spain,4,Budget,122.23
107,Hotel C106,Barcelona,Spain,3,Resort,104.34
108,Hotel D107,Zurich,Switzerland,3,Family,110.7
109,Hotel E108,Vienna,Austria,5,Business,174.64
110,Hotel F109,Amsterdam,Netherlands,3,Family,135.65
111,Hotel G110,Cologne,Germany,3,Business,98.41
112,Hotel H111,Barcelona,Spain,4,Boutique,144.71
113,Hotel I112,Salzburg,Austria,4,Family,127.51
114,Hotel J113,Vienna,Austria,5,Budget,170.7
115,Hotel K114,Salzburg,Austria,3,Family,113.43
116,Hotel L115,Salzburg,Austria,5,Budget,143.03
117,Hotel M116,Berlin,Germany,2,Budget,101.14
118,Hotel N117,Munich,Germany,4,Boutique,132.74
119,Hotel O118,Hamburg,Germany,4,Business,133.59
120,Hotel P119,Munich,Germany,3,Business,102.16
121,Hotel Q120,Vienna,Austria,3,Boutique,107.15
122,Hotel R121,Amsterdam,Netherlands,3,Business,120.13
123,Hotel S122,Zurich,Switzerland,5,Resort,162.73
124,Hotel T123,Vienna,Austria,4,Budget,143.94
125,Hotel U124,Rome,Italy,5,Family,169.34
126,Hotel V125,Salzburg,Austria,4,Resort,155.85
127,Hotel W126,Berlin,Germany,4,Family,135.89
128,Hotel X127,Barcelona,Spain,4,Family,122.28
129,Hotel Y128,Salzburg,Austria,2,Family,102.81
130,Hotel Z129,Zurich,Switzerland,3,Resort,111.02
131,Hotel A130,Salzburg,Austria,4,Boutique,153.38
132,Hotel B131,Salzburg,Austria,4,Family,144.6
133,Hotel C132,Munich,Germany,3,Boutique,113.43
134,Hotel D133,Salzburg,Austria,4,Resort,144.19
135,Hotel E134,Barcelona,Spain,4,Business,163.41
136,Hotel F135,Cologne,Germany,5,Budget,189.92
137,Hotel G136,Zurich,Switzerland,4,Budget,140.83
138,Hotel H137,Berlin,Germany,3,Business,116.92
139,Hotel I138,Frankfurt,Germany,3,Boutique,127.91
140,Hotel J139,Vienna,Austria,3,Resort,104.85
141,Hotel K140,Paris,France,4,Resort,144.0
142,Hotel L141,Hamburg,Germany,5,Family,164.69
143,Hotel M142,Cologne,Germany,4,Boutique,143.77
144,Hotel N143,Frankfurt,Germany,3,Family,105.0
145,Hotel O144,Paris,France,3,Resort,95.93
146,Hotel P145,Rome,Italy,4,Family,115.12
147,Hotel Q146,Berlin,Germany,4,Boutique,126.59
148,Hotel R147,Hamburg,Germany,3,Business,109.5
149,Hotel S148,Barcelona,Spain,2,Business,86.48
150,Hotel T149,Berlin,Germany,4,Boutique,163.25
151,Hotel U150,Rome,Italy,3,Family,128.27
152,Hotel V151,Cologne,Germany,4,Business,128.45
153,Hotel W152,Paris,France,3,Boutique,119.17
154,Hotel X153,Cologne,Germany,3,Business,110.12
155,Hotel Y154,Vienna,Austria,5,Family,161.59
156,Hotel Z155,Zurich,Switzerland,3,Budget,117.22
157,Hotel A156,Munich,Germany,3,Budget,122.43
158,Hotel B157,Salzburg,Austria,3,Budget,110.93
159,Hotel C158,Salzburg,Austria,3,Budget,127.77
160,Hotel D159,Barcelona,Spain,2,Budget,76.3
161,Hotel E160,Paris,France,2,Business,90.08
162,Hotel F161,Zurich,Switzerland,3,Family,146.17
163,Hotel G162,Frankfurt,Germany,2,Budget,92.68
164,Hotel H163,Frankfurt,Germany,4,Budget,157.2
165,Hotel I164,Vienna,Austria,4,Boutique,141.1
166,Hotel J165,Barcelona,Spain,3,Family,121.97
167,Hotel K166,Cologne,Germany,3,Boutique,114.32
168,Hotel L167,Hamburg,Germany,4,Business,137.96
169,Hotel M168,Frankfurt,Germany,5,Family,155.65
170,Hotel N169,Berlin,Germany,5,Boutique,170.16
171,Hotel O170,Munich,Germany,2,Business,79.78
172,Hotel P171,Munich,Germany,3,Budget,122.99
173,Hotel Q172,Barcelona,Spain,3,Boutique,128.02
174,Hotel R173,Amsterdam,Netherlands,3,Family,119.4
175,Hotel S174,Amsterdam,Netherlands,4,Resort,136.57
176,Hotel T175,Vienna,Austria,3,Business,120.45
177,Hotel U176,Amsterdam,Netherlands,2,Family,86.3
178,Hotel V177,Munich,Germany,3,Resort,126.23
179,Hotel W178,Rome,Italy,4,Boutique,118.02
180,Hotel X179,Salzburg,Austria,3,Budget,110.97
181,Hotel Y180,Paris,France,4,Resort,116.11
182,Hotel Z181,Munich,Germany,2,Business,72.06
183,Hotel A182,Vienna,Austria,5,Budget,181.37
184,Hotel B183,Amsterdam,Netherlands,2,Resort,100.74
185,Hotel C184,Vienna,Austria,4,Budget,131.37
186,Hotel D185,Vienna,Austria,5,Family,146.97
187,Hotel E186,Munich,Germany,5,Budget,129.43
188,Hotel F187,Frankfurt,Germany,4,Budget,133.48
189,Hotel G188,Hamburg,Germany,4,Boutique,169.04
190,Hotel H189,Cologne,Germany,4,Boutique,145.22
191,Hotel I190,Amsterdam,Netherlands,4,Resort,133.29
192,Hotel J191,Zurich,Switzerland,3,Family,120.58
193,Hotel K192,Zurich,Switzerland,4,Resort,121.27
194,Hotel L193,Frankfurt,Germany,4,Boutique,136.43
195,Hotel M194,Paris,France,5,Budget,166.19
196,Hotel N195,Munich,Germany,4,Family,138.97
197,Hotel O196,Frankfurt,Germany,3,Family,124.49
198,Hotel P197,Munich,Germany,4,Boutique,144.14
199,Hotel Q198,Frankfurt,Germany,3,Budget,123.02
200,Hotel R199,Paris,France,3,Resort,106.74
201,Hotel S200,Frankfurt,Germany,4,Resort,150.77
202,Hotel T201,Rome,Italy,3,Boutique,134.55
203,Hotel U202,Vienna,Austria,3,Business,103.36
204,Hotel V203,Amsterdam,Netherlands,3,Boutique,104.35
205,Hotel W204,Vienna,Austria,3,Resort,131.03
206,Hotel X205,Cologne,Germany,3,Family,112.7
207,Hotel Y206,Barcelona,Spain,3,Family,131.85
208,Hotel Z207,Paris,France,4,Business,134.69
209,Hotel A208,Cologne,Germany,3,Budget,132.46
210,Hotel B209,Barcelona,Spain,5,Business,166.58
211,Hotel C210,Cologne,Germany,5,Budget,168.1
212,Hotel D211,Amsterdam,Netherlands,4,Boutique,158.78
213,Hotel E212,Barcelona,Spain,3,Resort,110.66
214,Hotel F213,Vienna,Austria,4,Budget,128.71
215,Hotel G214,Amsterdam,Netherlands,4,Resort,134.62
216,Hotel H215,Cologne,Germany,4,Family,145.43
217,Hotel I216,Berlin,Germany,4,Resort,121.21
218,Hotel J217,Munich,Germany,4,Family,147.65
219,Hotel K218,Vienna,Austria,4,Budget,133.53
220,Hotel L219,Rome,Italy,3,Boutique,128.77
