offer_id,hotel_id,provider_name,date_scraped,price_eur,room_type
1,1,Hotels.com,2026-01-01,137.23,Suite
2,1,Hotels.com,2026-01-08,148.68,Standard
3,1,Hotels.com,2026-01-15,147.46,Standard
4,1,Hotels.com,2026-01-22,140.11,Standard
5,1,Hotels.com,2026-01-29,130.19,Deluxe
6,1,Hotels.com,2026-02-05,144.36,Standard
7,1,Hotels.com,2026-02-12,124.59,Deluxe
8,1,Hotels.com,2026-02-19,129.97,Standard
9,1,Hotels.com,2026-02-26,135.55,Standard
10,1,Hotels.com,2026-03-05,125.11,Suite
11,1,Hotels.com,2026-03-12,132.55,Deluxe
12,1,Hotels.com,2026-03-19,141.45,Deluxe
13,1,Hotels.com,2026-03-26,131.25,Standard
14,1,Hotels.com,2026-04-02,141.8,Standard
15,1,Hotels.com,2026-04-09,152.32,Standard
16,1,Hotels.com,2026-04-16,138.75,Deluxe
17,1,Hotels.com,2026-04-23,141.67,Standard
18,1,Hotels.com,2026-04-30,144.63,Deluxe
19,1,Hotels.com,2026-05-07,133.15,Standard
20,1,Hotels.com,2026-05-14,141.49,Standard
21,1,Hotels.com,2026-05-21,132.99,Suite
22,1,Hotels.com,2026-05-28,138.25,Standard
23,1,Hotels.com,2026-06-04,142.59,Suite
24,1,Hotels.com,2026-06-11,130.48,Standard
25,1,Hotels.com,2026-06-18,120.32,Standard
26,1,Hotels.com,2026-06-25,129.88,Standard
27,1,Hotels.com,2026-07-02,143.68,Standard
28,1,Hotels.com,2026-07-09,129.09,Standard
29,1,Hotels.com,2026-07-16,143.25,Deluxe
30,1,Hotels.com,2026-07-23,129.91,Standard
31,1,Hotels.com,2026-07-30,134.6,Standard
32,1,Hotels.com,2026-08-06,136.02,Standard
33,1,Hotels.com,2026-08-13,129.06,Standard
34,1,Hotels.com,2026-08-20,134.67,Standard
35,1,Hotels.com,2026-08-27,125.47,Standard
36,1,Expedia,2026-01-01,141.08,Standard
37,1,Expedia,2026-01-08,157.07,Standard
38,1,Expedia,2026-01-15,137.56,Deluxe
39,1,Expedia,2026-01-22,159.54,Standard
40,1,Expedia,2026-01-29,154.39,Standard
41,1,Expedia,2026-02-05,140.36,Deluxe
42,1,Expedia,2026-02-12,149.12,Standard
43,1,Expedia,2026-02-19,147.29,Suite
44,1,Expedia,2026-02-26,149.86,Standard
45,1,Expedia,2026-03-05,154.68,Standard
46,1,Expedia,2026-03-12,131.98,Standard
47,1,Expedia,2026-03-19,157.51,Standard
48,1,Expedia,2026-03-26,134.86,Standard
49,1,Expedia,2026-04-02,155.6,Deluxe
50,1,Expedia,2026-04-09,152.52,Deluxe
51,1,Expedia,2026-04-16,142.04,Standard
52,1,Expedia,2026-04-23,146.46,Standard
53,1,Expedia,2026-04-30,163.91,Suite
54,1,Expedia,2026-05-07,157.13,Deluxe
55,1,Expedia,2026-05-14,155.04,Deluxe
56,1,Expedia,2026-05-21,151.97,Standard
57,1,Expedia,2026-05-28,153.41,Standard
58,1,Expedia,2026-06-04,153.42,Standard
59,1,Expedia,2026-06-11,135.42,Standard
60,1,Expedia,2026-06-18,144.55,Deluxe
61,1,Expedia,2026-06-25,161.18,Deluxe
62,1,Expedia,2026-07-02,158.79,Deluxe
63,1,Expedia,2026-07-09,158.72,Standard
64,1,Expedia,2026-07-16,150.19,Deluxe
65,1,Expedia,2026-07-23,151.63,Standard
66,1,Expedia,2026-07-30,139.0,Standard
67,1,Expedia,2026-08-06,148.09,Suite
68,1,Expedia,2026-08-13,155.33,Standard
69,1,Expedia,2026-08-20,150.53,Deluxe
70,1,Expedia,2026-08-27,147.17,Deluxe
71,1,Agoda,2026-01-01,144.89,Standard
72,1,Agoda,2026-01-08,154.35,Deluxe
73,1,Agoda,2026-01-15,137.06,Standard
74,1,Agoda,2026-01-22,158.0,Standard
75,1,Agoda,2026-01-29,158.22,Standard
76,1,Agoda,2026-02-05,144.14,Standard
77,1,Agoda,2026-02-12,153.1,Deluxe
78,1,Agoda,2026-02-19,160.19,Standard
79,1,Agoda,2026-02-26,149.51,Suite
80,1,Agoda,2026-03-05,148.1,Standard
81,1,Agoda,2026-03-12,148.98,Deluxe
82,1,Agoda,2026-03-19,152.41,Standard
83,1,Agoda,2026-03-26,145.78,Deluxe
84,1,Agoda,2026-04-02,147.48,Deluxe
85,1,Agoda,2026-04-09,152.56,Suite
86,1,Agoda,2026-04-16,146.88,Standard
87,1,Agoda,2026-04-23,141.76,Standard
88,1,Agoda,2026-04-30,136.49,Deluxe
89,1,Agoda,2026-05-07,150.74,Standard
90,1,Agoda,2026-05-14,159.64,Deluxe
91,1,Agoda,2026-05-21,153.48,Standard
92,1,Agoda,2026-05-28,142.02,Suite
93,1,Agoda,2026-06-04,144.84,Deluxe
94,1,Agoda,2026-06-11,148.05,Standard
95,1,Agoda,2026-06-18,164.33,Standard
96,1,Agoda,2026-06-25,164.84,Standard
97,1,Agoda,2026-07-02,163.7,Deluxe
98,1,Agoda,2026-07-09,151.49,Standard
99,1,Agoda,2026-07-16,174.42,Standard
100,1,Agoda,2026-07-23,145.18,Deluxe
101,1,Agoda,2026-07-30,147.78,Standard
102,1,Agoda,2026-08-06,157.34,Standard
103,1,Agoda,2026-08-13,152.6,Standard
104,1,Agoda,2026-08-20,153.04,Deluxe
105,1,Agoda,2026-08-27,135.93,Suite
106,1,Booking.com,2026-01-01,132.62,Deluxe
107,1,Booking.com,2026-01-08,143.53,Standard
108,1,Booking.com,2026-01-15,148.87,Standard
109,1,Booking.com,2026-01-22,140.02,Standard
110,1,Booking.com,2026-01-29,142.6,Standard
111,1,Booking.com,2026-02-05,135.73,Suite
112,1,Booking.com,2026-02-12,143.38,Standard
113,1,Booking.com,2026-02-19,128.93,Standard
114,1,Booking.com,2026-02-26,141.35,Deluxe
115,1,Booking.com,2026-03-05,142.73,Suite
116,1,Booking.com,2026-03-12,149.7,Suite
117,1,Booking.com,2026-03-19,134.56,Standard
118,1,Booking.com,2026-03-26,,Standard
119,1,Booking.com,2026-04-02,139.85,Standard
120,1,Booking.com,2026-04-09,130.75,Deluxe
121,1,Booking.com,2026-04-16,138.95,Standard
122,1,Booking.com,2026-04-23,143.21,Standard
123,1,Booking.com,2026-04-30,150.43,Standard
124,1,Booking.com,2026-05-07,136.77,Standard
125,1,Booking.com,2026-05-14,131.96,Standard
126,1,Booking.com,2026-05-21,143.66,Deluxe
127,1,Booking.com,2026-05-28,154.28,Suite
128,1,Booking.com,2026-06-04,157.66,Deluxe
129,1,Booking.com,2026-06-11,133.8,Standard
130,1,Booking.com,2026-06-18,135.24,Standard
131,1,Booking.com,2026-06-25,145.77,Standard
132,1,Booking.com,2026-07-02,138.48,Deluxe
133,1,Booking.com,2026-07-09,151.2,Deluxe
134,1,Booking.com,2026-07-16,3401.2500000000005,Standard
135,1,Booking.com,2026-07-23,152.67,Standard
136,1,Booking.com,2026-07-30,140.66,Suite
137,1,Booking.com,2026-08-06,143.78,Deluxe
138,1,Booking.com,2026-08-13,141.74,Standard
139,1,Booking.com,2026-08-20,141.72,Standard
140,1,Booking.com,2026-08-27,141.27,Standard
141,1,HRS,2026-01-01,155.34,Standard
142,1,HRS,2026-01-08,164.45,Standard
143,1,HRS,2026-01-15,156.41,Standard
144,1,HRS,2026-01-22,151.27,Standard
145,1,HRS,2026-01-29,158.51,Suite
146,1,HRS,2026-02-05,158.67,Deluxe
147,1,HRS,2026-02-12,161.05,Standard
148,1,HRS,2026-02-19,149.23,Standard
149,1,HRS,2026-02-26,3241.7499999999995,Deluxe
150,1,HRS,2026-03-05,124.22,Standard
151,1,HRS,2026-03-12,155.37,Suite
152,1,HRS,2026-03-19,143.1,Standard
153,1,HRS,2026-03-26,162.35,Deluxe
154,1,HRS,2026-04-02,168.97,Deluxe
155,1,HRS,2026-04-09,155.03,Standard
156,1,HRS,2026-04-16,152.93,Standard
157,1,HRS,2026-04-23,151.1,Standard
158,1,HRS,2026-04-30,141.57,Standard
159,1,HRS,2026-05-07,146.3,Standard
160,1,HRS,2026-05-14,152.2,Standard
161,1,HRS,2026-05-21,151.13,Standard
162,1,HRS,2026-05-28,156.62,Standard
163,1,HRS,2026-06-04,144.02,Standard
164,1,HRS,2026-06-11,148.8,Standard
165,1,HRS,2026-06-18,155.31,Suite
166,1,HRS,2026-06-25,140.31,Standard
167,1,HRS,2026-07-02,157.52,Deluxe
168,1,HRS,2026-07-09,156.74,Standard
169,1,HRS,2026-07-16,154.45,Deluxe
170,1,HRS,2026-07-23,156.53,Standard
171,1,HRS,2026-07-30,148.27,Standard
172,1,HRS,2026-08-06,163.17,Standard
173,1,HRS,2026-08-13,161.92,Standard
174,1,HRS,2026-08-20,154.61,Deluxe
175,1,HRS,2026-08-27,152.86,Suite
176,2,Booking.com,2026-01-01,104.71,Standard
177,2,Booking.com,2026-01-08,108.2,Deluxe
178,2,Booking.com,2026-01-15,108.65,Standard
179,2,Booking.com,2026-01-22,98.23,Standard
180,2,Booking.com,2026-01-29,102.07,Deluxe
181,2,Booking.com,2026-02-05,99.23,Deluxe
182,2,Booking.com,2026-02-12,104.97,Standard
183,2,Booking.com,2026-02-19,102.93,Standard
184,2,Booking.com,2026-02-26,106.48,Suite
185,2,Booking.com,2026-03-05,106.84,Standard
186,2,Booking.com,2026-03-12,93.66,Suite
187,2,Booking.com,2026-03-19,93.28,Standard
188,2,Booking.com,2026-03-26,104.67,Standard
189,2,Booking.com,2026-04-02,110.91,Standard
190,2,Booking.com,2026-04-09,102.08,Standard
191,2,Booking.com,2026-04-16,101.93,Deluxe
192,2,Booking.com,2026-04-23,109.86,Standard
193,2,Booking.com,2026-04-30,108.91,Deluxe
194,2,Booking.com,2026-05-07,99.7,Standard
195,2,Booking.com,2026-05-14,108.35,Deluxe
196,2,Booking.com,2026-05-21,100.71,Standard
197,2,Booking.com,2026-05-28,101.88,Suite
198,2,Booking.com,2026-06-04,99.69,Suite
199,2,Booking.com,2026-06-11,98.2,Deluxe
200,2,Booking.com,2026-06-18,105.27,Standard
201,2,Booking.com,2026-06-25,97.49,Standard
202,2,Booking.com,2026-07-02,105.48,Standard
203,2,Booking.com,2026-07-09,105.32,Standard
204,2,Booking.com,2026-07-16,103.89,Standard
205,2,Booking.com,2026-07-23,102.31,Deluxe
206,2,Booking.com,2026-07-30,101.32,Standard
207,2,Booking.com,2026-08-06,99.08,Deluxe
208,2,Booking.com,2026-08-13,112.26,Standard
209,2,Booking.com,2026-08-20,103.67,Standard
210,2,Booking.com,2026-08-27,103.5,Suite
211,2,Hotels.com,2026-01-01,96.42,Standard
212,2,Hotels.com,2026-01-08,108.73,Suite
213,2,Hotels.com,2026-01-15,102.18,Standard
214,2,Hotels.com,2026-01-22,94.61,Deluxe
215,2,Hotels.com,2026-01-29,95.63,Deluxe
216,2,Hotels.com,2026-02-05,93.39,Standard
217,2,Hotels.com,2026-02-12,87.98,Standard
218,2,Hotels.com,2026-02-19,94.02,Standard
219,2,Hotels.com,2026-02-26,95.38,Deluxe
220,2,Hotels.com,2026-03-05,96.2,Suite
221,2,Hotels.com,2026-03-12,101.18,Standard
222,2,Hotels.com,2026-03-19,97.69,Suite
223,2,Hotels.com,2026-03-26,101.26,Standard
224,2,Hotels.com,2026-04-02,98.26,Standard
225,2,Hotels.com,2026-04-09,97.81,Standard
226,2,Hotels.com,2026-04-16,98.68,Deluxe
227,2,Hotels.com,2026-04-23,91.55,Standard
228,2,Hotels.com,2026-04-30,99.34,Deluxe
229,2,Hotels.com,2026-05-07,94.04,Standard
230,2,Hotels.com,2026-05-14,94.19,Standard
231,2,Hotels.com,2026-05-21,95.71,Standard
232,2,Hotels.com,2026-05-28,93.61,Standard
233,2,Hotels.com,2026-06-04,90.62,Standard
234,2,Hotels.com,2026-06-11,95.35,Standard
235,2,Hotels.com,2026-06-18,94.21,Standard
236,2,Hotels.com,2026-06-25,94.05,Deluxe
237,2,Hotels.com,2026-07-02,94.87,Standard
238,2,Hotels.com,2026-07-09,85.34,Deluxe
239,2,Hotels.com,2026-07-16,94.08,Deluxe
240,2,Hotels.com,2026-07-23,101.92,Standard
241,2,Hotels.com,2026-07-30,101.48,Standard
242,2,Hotels.com,2026-08-06,95.51,Standard
243,2,Hotels.com,2026-08-13,95.35,Standard
244,2,Hotels.com,2026-08-20,84.28,Standard
245,2,Hotels.com,2026-08-27,92.75,Deluxe
246,2,Agoda,2026-01-01,107.52,Standard
247,2,Agoda,2026-01-08,110.39,Deluxe
248,2,Agoda,2026-01-15,106.0,Suite
249,2,Agoda,2026-01-22,106.47,Deluxe
250,2,Agoda,2026-01-29,108.7,Standard
251,2,Agoda,2026-02-05,105.04,Suite
252,2,Agoda,2026-02-12,92.16,Standard
253,2,Agoda,2026-02-19,98.8,Deluxe
254,2,Agoda,2026-02-26,103.7,Deluxe
255,2,Agoda,2026-03-05,99.86,Standard
256,2,Agoda,2026-03-12,117.94,Deluxe
