session_id,session_date,device_type,traffic_source,city_searched,nights_searched,hotels_viewed,session_duration_sec
1,2026-03-11,mobile,organic_search,Vienna,6,20,228.0
2,2026-03-22,desktop,direct,Salzburg,4,4,45.4
3,2026-02-18,mobile,organic_search,Frankfurt,6,13,27.7
4,2026-02-19,desktop,paid_search,Zurich,6,19,207.5
5,2026-02-23,mobile,affiliate,Berlin,4,4,46.6
6,2026-08-22,desktop,paid_search,Berlin,2,12,58.3
7,2026-03-19,mobile,direct,Amsterdam,5,8,82.1
8,2026-03-17,desktop,organic_search,Barcelona,5,5,198.1
9,2026-01-05,mobile,organic_search,Vienna,3,4,79.5
10,2026-03-21,mobile,paid_search,Frankfurt,7,15,7.5
11,2026-01-18,mobile,email,Amsterdam,4,7,77.7
12,2026-02-15,desktop,organic_search,Cologne,2,18,168.5
13,2026-06-24,mobile,paid_search,Barcelona,6,22,279.4
14,2026-06-02,mobile,organic_search,Salzburg,4,14,206.0
15,2026-05-13,desktop,paid_search,Berlin,1,9,173.6
16,2026-02-24,desktop,organic_search,Amsterdam,5,7,45.5
17,2026-06-18,desktop,organic_search,Paris,1,16,81.5
18,2026-02-08,tablet,paid_search,Barcelona,5,18,128.4
19,2026-06-23,mobile,paid_search,Vienna,5,7,203.0
20,2026-06-19,desktop,paid_search,Zurich,5,10,211.0
21,2026-01-18,mobile,affiliate,Paris,6,8,35.6
22,2026-05-26,desktop,organic_search,Salzburg,1,20,53.7
23,2026-08-17,desktop,direct,Munich,5,10,96.4
24,2026-05-30,desktop,paid_search,Hamburg,5,16,39.1
25,2026-08-23,mobile,paid_search,Frankfurt,2,23,2.2
26,2026-07-22,desktop,direct,Rome,7,8,109.7
27,2026-01-09,tablet,organic_search,Vienna,4,7,201.9
28,2026-08-07,mobile,affiliate,Amsterdam,6,10,166.3
29,2026-01-17,mobile,email,Paris,3,17,125.2
30,2026-02-19,desktop,direct,Amsterdam,5,11,138.9
31,2026-07-18,tablet,affiliate,Munich,7,11,9.4
32,2026-04-29,desktop,affiliate,Paris,1,21,164.7
33,2026-05-28,mobile,organic_search,Salzburg,5,6,80.3
34,2026-03-12,mobile,email,Vienna,6,16,255.3
35,2026-08-28,mobile,direct,Munich,4,15,116.4
36,2026-01-22,desktop,paid_search,Vienna,6,12,150.5
37,2026-03-01,mobile,paid_search,Hamburg,3,11,41.2
38,2026-07-23,mobile,paid_search,Frankfurt,6,17,101.8
39,2026-07-12,mobile,paid_search,Zurich,3,22,157.1
40,2026-03-10,mobile,paid_search,Munich,4,4,133.6
41,2026-05-07,mobile,direct,Cologne,1,23,151.1
42,2026-01-09,mobile,email,Salzburg,1,3,350.1
43,2026-05-15,mobile,affiliate,Cologne,5,15,133.4
44,2026-07-25,mobile,direct,Salzburg,3,11,131.8
45,2026-02-20,desktop,affiliate,Amsterdam,4,9,51.1
46,2026-08-14,desktop,affiliate,Cologne,3,20,237.9
47,2026-05-27,desktop,direct,Barcelona,1,14,16.7
48,2026-01-12,desktop,organic_search,Cologne,5,7,15.8
49,2026-04-10,mobile,paid_search,Berlin,3,22,119.5
50,2026-02-11,tablet,affiliate,Rome,7,10,69.1
51,2026-02-23,mobile,organic_search,Hamburg,6,17,115.7
52,2026-01-20,mobile,direct,Frankfurt,7,6,220.9
53,2026-07-22,mobile,affiliate,Salzburg,2,4,150.0
54,2026-06-11,tablet,direct,Barcelona,3,16,84.6
55,2026-02-21,mobile,affiliate,Rome,6,4,165.2
56,2026-01-21,mobile,direct,Frankfurt,2,23,148.9
57,2026-03-14,mobile,affiliate,Frankfurt,4,6,75.2
58,2026-03-10,tablet,affiliate,Hamburg,1,14,59.5
